s.no.,feedstock,activation,material_type,heat_treatment (celsius),SA (m2/g),TPV (cm3/g),MPV(cm3/g),C%,H%,N%,O%,T (celsius),P (bar),CO2_uptake (mmol/g)
,Shell of tea seed,KOH,Microporous,700,1055,0.46,0.39,61.47,1.16,3.45,33.92,25,1,2.44
,Shell of tea seed,KOH,Microporous,700,706,0.33,0.25,48.26,1.77,3.39,46.58,25,1,1.95
31,Water chestnut shell,KOH,Hierarchical,500,669,0.31,,71.42,3.06,3.05,22.47,25,1,3.29
,Water chestnut shell,KOH,Hierarchical,500,1450,0.61,,73.24,2.99,3.26,20.51,25,1,3.63
,Water chestnut shell,KOH,Hierarchical,500,1310,0.65,,74.25,3.01,3.58,19.16,25,1,3.18
,Water chestnut shell,KOH,Hierarchical,500,1036,0.44,,76.21,3.01,2.73,18.05,25,1,4.06
,Water chestnut shell,KOH,Hierarchical,500,2412,1.14,,75.2,2.75,3.14,18.91,25,1,4.04
,Water chestnut shell,KOH,Hierarchical,500,2596,1.42,,73.58,2.8,3.35,20.27,25,1,3.59
,Water chestnut shell,KOH,Hierarchical,500,1416,0.58,,77.43,2.42,2.42,17.73,25,1,4.5
,Water chestnut shell,KOH,Hierarchical,500,2615,1.38,,76.52,2.53,2.68,18.27,25,1,3.6
,Water chestnut shell,KOH,Hierarchical,500,2446,1.59,,76.03,2.86,3.12,17.99,25,1,3.39
32,Poplar catkins,ZnCl2,Hierarchical,400,1361.9,0.58,0.46,87.23,1.62,1.89,9.26,25,1,3.55
,Poplar catkins,ZnCl2,Hierarchical,400,1005.4,0.41,0.34,87.42,1.32,2.37,8.89,25,1,3.75
,Poplar catkins,ZnCl2,Hierarchical,400,1455.1,0.68,0.47,88.57,0.89,2.89,7.65,25,1,4.05
,Poplar catkins,ZnCl2,Hierarchical,400,1248.7,0.5,0.41,89.74,0.78,2.16,7.32,25,1,2.62
,Poplar catkins,ZnCl2,Hierarchical,400,1272.4,0.55,0.43,89.23,0.82,2.09,7.86,25,1,3.35
33,Walnut shell,NaNH2,Hierarchical,500,419,0.25,0.19,54.24,3.37,3.79,38.6,25,1,1.93
,Walnut shell,NaNH2,Hierarchical,500,589,0.34,0.27,63.53,4.38,7.24,24.85,25,1,2.53
,Walnut shell,NaNH2,Hierarchical,500,802,0.47,0.37,57.6,3.45,1.52,37.43,25,1,1.96
,Walnut shell,NaNH2,Hierarchical,500,516,0.28,0.2,52.55,3.35,3.52,40.58,25,1,1.7
,Walnut shell,NaNH2,Hierarchical,500,1687,0.94,0.77,72.63,3.18,1.89,22.3,25,1,3.06
,Walnut shell,NaNH2,Hierarchical,500,1721,0.92,0.75,61.53,1.45,2.54,34.48,25,1,2.15
,Walnut shell,NaNH2,Hierarchical,500,419,0.25,0.19,54.24,3.37,3.79,38.6,0,1,2.6
,Walnut shell,NaNH2,Hierarchical,500,589,0.34,0.27,63.53,4.38,7.24,24.85,0,1,4.17
,Walnut shell,NaNH2,Hierarchical,500,802,0.47,0.37,57.6,3.45,1.52,37.43,0,1,3.88
,Walnut shell,NaNH2,Hierarchical,500,516,0.28,0.2,52.55,3.35,3.52,40.58,0,1,2.67
,Walnut shell,NaNH2,Hierarchical,500,1687,0.94,0.77,72.63,3.18,1.89,22.3,0,1,5.22
,Walnut shell,NaNH2,Hierarchical,500,1721,0.92,0.75,61.53,1.45,2.54,34.48,0,1,3.17
34,Glucose-d,KOH,Hierarchical,180,821,0.42,,65.54,2.14,12.17,20.15,25,1,3.99
,Glucose-d,KOH,Hierarchical,180,1267,0.54,,64.89,2.15,11.93,21.03,25,1,4.24
,Glucose-d,KOH,Hierarchical,180,1398,0.6,,63.54,2.16,11.67,22.63,25,1,4.02
,Glucose-d,KOH,Hierarchical,180,1412,0.63,,62.21,2.12,11.23,24.44,25,1,3.93
,Glucose-d,KOH,Hierarchical,180,1734,0.78,,75.01,1.41,9.24,14.34,25,1,4.26
,Glucose-d,KOH,Hierarchical,180,1960,0.9,,74.32,1.35,8.56,15.77,25,1,4.23
,Glucose-d,KOH,Hierarchical,180,2167,0.96,,72.68,1.37,7.23,18.72,25,1,4.21
,Glucose-d,KOH,Hierarchical,180,2016,0.94,,75.35,1.17,6.85,16.63,25,1,4.07
,Glucose-d,KOH,Hierarchical,180,2394,1.13,,81.51,0.89,6.94,10.66,25,1,3.92
,Glucose-d,KOH,Hierarchical,180,2659,1.32,,79.12,0.75,6.72,13.41,25,1,3.71
,Glucose-d,KOH,Hierarchical,180,2655,1.4,,77.05,0.85,6.43,15.67,25,1,3.51
,Glucose-d,KOH,Hierarchical,180,2470,1.3,,76.92,0.96,6.2,15.92,25,1,3.42
,Glucose-d,KOH,Hierarchical,180,821,0.42,,65.54,2.14,12.17,20.15,0,1,5.33
,Glucose-d,KOH,Hierarchical,180,1267,0.54,,64.89,2.15,11.93,21.03,0,1,6.23
,Glucose-d,KOH,Hierarchical,180,1398,0.6,,63.54,2.16,11.67,22.63,0,1,6.11
,Glucose-d,KOH,Hierarchical,180,1412,0.63,,62.21,2.12,11.23,24.44,0,1,5.9
,Glucose-d,KOH,Hierarchical,180,1734,0.78,,75.01,1.41,9.24,14.34,0,1,6.7
,Glucose-d,KOH,Hierarchical,180,1960,0.9,,74.32,1.35,8.56,15.77,0,1,6.14
,Glucose-d,KOH,Hierarchical,180,2167,0.96,,72.68,1.37,7.23,18.72,0,1,6.28
,Glucose-d,KOH,Hierarchical,180,2016,0.94,,75.35,1.17,6.85,16.63,0,1,6.11
,Glucose-d,KOH,Hierarchical,180,2394,1.13,,81.51,0.89,6.94,10.66,0,1,6.46
,Glucose-d,KOH,Hierarchical,180,2659,1.32,,79.12,0.75,6.72,13.41,0,1,5.73
,Glucose-d,KOH,Hierarchical,180,2655,1.4,,77.05,0.85,6.43,15.67,0,1,5.36
,Glucose-d,KOH,Hierarchical,180,2470,1.3,,76.92,0.96,6.2,15.92,0,1,5.24
35,Palm kernel shell,,Microporous,500,195,0.11,0.08,90.23,0,1.77,7.76,25,1,1.43
,Palm kernel shell,,Microporous,500,852,0.38,0.31,85.9,0,3.03,10.87,25,1,4.39
,Palm kernel shell,,Microporous,500,1185,0.52,0.43,90.97,0,3.35,5.54,25,1,4.8
,Palm kernel shell,,Microporous,500,694,0.37,0.25,88.31,0,1.95,9.53,25,1,3.39
,Palm kernel shell,,Microporous,500,699,0.49,0.16,92.63,0,1.73,5.45,25,1,2.56
,Palm kernel shell,,Microporous,500,586,0.31,0.19,88.52,0,2.94,8.24,25,1,2.84
,Palm kernel shell,,Microporous,500,1700,0.89,0.56,86.45,0,3.3,9.97,25,1,5.29
36,Lignin,KOH,Hierarchical,200,3172,1.6,,87.72,0,0,12.08,25,1,2.3
,Lignin,KOH,Hierarchical,200,3020,1.89,,80.03,0,0.62,19.34,25,1,2.2
,Lignin,KOH,Hierarchical,200,3064,1.56,,87.1,0,0.64,12.26,25,1,2.5
,Lignin,KOH,Hierarchical,200,3021,1.58,,89.55,0,1.1,9.35,25,1,2.6
,Lignin,KOH,Hierarchical,200,2473,1.26,,87.81,0,1.17,11.02,25,1,2.7
37,Pineapple waste,KOH,Hierarchical,210,124,,,84.82,1.56,1.3,12.32,25,1,1.16
,Pineapple waste,KOH,Hierarchical,210,224.1,,,86.06,1.55,1.69,10.7,25,1,1.18
,Pineapple waste,KOH,Hierarchical,210,422.8,,,80.01,1.16,1.52,17.31,25,1,2.22
,Pineapple waste,KOH,Hierarchical,210,302.7,,,81.12,0.75,1.3,16.83,25,1,1.59
,Pineapple waste,KOH,Hierarchical,210,328.2,,,84.98,0.2,1.59,13.23,25,1,1.33
,Pineapple waste,KOH,Hierarchical,210,644.9,,,73.52,1.09,1.49,23.9,25,1,3.16
,Pineapple waste,KOH,Hierarchical,210,186,,,85.04,0.48,1.12,13.36,25,1,1.35
,Pineapple waste,KOH,Hierarchical,210,397.3,,,83.29,0.17,1.58,14.96,25,1,1.59
,Pineapple waste,KOH,Hierarchical,210,1076.3,,,86.31,0.14,0.33,13.22,25,1,4.25
38,Glucose,KOH,Hierarchical,180,1082,0.58,0.44,77.91,0,9.44,12.65,25,1,3.78
,Glucose,KOH,Hierarchical,180,1793,0.87,0.73,81.12,0,8.02,10.86,25,1,5.01
,Glucose,KOH,Hierarchical,180,2328,1.11,0.94,84.91,0,5.05,10.04,25,1,4.32
,Glucose,KOH,Hierarchical,180,2958,1.61,1.16,92.8,0,2.73,4.47,25,1,3.36
,Glucose,KOH,Hierarchical,180,1082,0.58,0.44,77.91,0,9.44,12.65,25,0.15,1.29
,Glucose,KOH,Hierarchical,180,1793,0.87,0.73,81.12,0,8.02,10.86,25,0.15,1.38
,Glucose,KOH,Hierarchical,180,2328,1.11,0.94,84.91,0,5.05,10.04,25,0.15,0.93
,Glucose,KOH,Hierarchical,180,2958,1.61,1.16,92.8,0,2.73,4.47,25,0.15,0.65
,Glucose,KOH,Hierarchical,180,1082,0.58,0.44,77.91,0,9.44,12.65,0,1,5.36
,Glucose,KOH,Hierarchical,180,1793,0.87,0.73,81.12,0,8.02,10.86,0,1,7.6
,Glucose,KOH,Hierarchical,180,2328,1.11,0.94,84.91,0,5.05,10.04,0,1,7.18
,Glucose,KOH,Hierarchical,180,2958,1.61,1.16,92.8,0,2.73,4.47,0,1,6.24
39,Glucose-d,KOH,Microporous,,1210,0.69,,74.3,0,9.8,15.9,25,1,4.18
,Glucose-d,KOH,Microporous,,1780,1.35,,82.5,0,6.94,10.56,25,1,4.66
,Glucose-d,KOH,Microporous,,2136,1.43,,80.8,0,6.84,12.36,25,1,3.89
,Glucose-d,KOH,Microporous,,3247,3.09,,86.9,0,2.07,11.03,25,1,4.95
,Glucose-d,KOH,Microporous,,1210,0.69,,74.3,0,9.8,15.9,0,1,6.11
,Glucose-d,KOH,Microporous,,1780,1.35,,82.5,0,6.94,10.56,0,1,7.77
,Glucose-d,KOH,Microporous,,2136,1.43,,80.8,0,6.84,12.36,0,1,7.43
,Glucose-d,KOH,Microporous,,3247,3.09,,86.9,0,2.07,11.03,0,1,8.07
40,Sugarcane bagasse,KOH,Microporous,,32,0.02,,83.16,1.74,3.81,11.29,25,1,1.94
,Sugarcane bagasse,KOH,Microporous,,851,0.44,,87,0.97,0.83,11.2,25,1,4.52
,Sugarcane bagasse,KOH,Microporous,,927,0.48,,83.26,1.17,1.76,13.81,25,1,4.6
,Sugarcane bagasse,KOH,Microporous,,1113,0.57,,83.59,1.18,1.98,13.25,25,1,4.8
,Sugarcane bagasse,KOH,Microporous,,1024,0.53,,83.02,1.16,1.98,13.84,25,1,4.76
,Sugarcane bagasse,KOH,Microporous,,945,0.49,,84.19,1.12,1.99,12.7,25,1,4.71
41,Lotus stalks,NaNH2,Hierarchical,500,848,0.38,,67.03,2.34,3.77,26.86,25,1,3.39
,Lotus stalks,NaNH2,Hierarchical,500,1164,0.54,,68.32,2.55,4.01,25.12,25,1,3.67
,Lotus stalks,NaNH2,Hierarchical,500,1087,0.52,,67.65,2.25,4.5,25.6,25,1,3.22
,Lotus stalks,NaNH2,Hierarchical,500,1105,0.49,,70.25,2.12,3.21,24.42,25,1,3.69
,Lotus stalks,NaNH2,Hierarchical,500,2053,0.97,,71.37,2.04,3.64,22.95,25,1,3.47
,Lotus stalks,NaNH2,Hierarchical,500,1921,1.04,,70.98,2.06,4.03,22.93,25,1,3.12
,Lotus stalks,NaNH2,Hierarchical,500,1113,0.48,,73.56,2.09,2.61,21.74,25,1,3.88
,Lotus stalks,NaNH2,Hierarchical,500,2264,1.34,,74.32,1.97,3.08,20.63,25,1,3.51
,Lotus stalks,NaNH2,Hierarchical,500,1824,1.03,,74.98,1.88,3.45,19.69,25,1,3.45
42,Phenolic resins,NaNH2,Microporous,500,735,0.31,,77.7,2.58,2.72,17,25,1,3.32
,Phenolic resins,NaNH2,Microporous,500,936,0.39,,78.36,2.29,4.56,14.79,25,1,4.12
,Phenolic resins,NaNH2,Microporous,500,1115,0.46,,79.36,2.43,5.36,12.85,25,1,4.14
,Phenolic resins,NaNH2,Microporous,500,1003,0.41,,79.11,2.16,6.05,12.68,25,1,3.83
,Phenolic resins,NaNH2,Microporous,500,787,0.33,,80.6,2.42,1.56,15.42,25,1,3.86
,Phenolic resins,NaNH2,Microporous,500,1088,0.45,,79.32,2.36,3.9,14.42,25,1,4.06
,Phenolic resins,NaNH2,Microporous,500,1432,0.59,,78.62,1.76,4.25,15.37,25,1,4.64
,Phenolic resins,NaNH2,Microporous,500,1569,0.64,,77.65,2.24,5.94,14.17,25,1,4.4
,Phenolic resins,NaNH2,Microporous,500,932,0.39,,85.36,1.95,1.39,11.3,25,1,4.03
,Phenolic resins,NaNH2,Microporous,500,1288,0.54,,83.69,1.7,3.85,10.76,25,1,4.61
,Phenolic resins,NaNH2,Microporous,500,1924,0.79,,81.34,1.64,4.09,12.93,25,1,4.57
,Phenolic resins,NaNH2,Microporous,500,2155,0.94,,76.96,1.29,5.74,16.01,25,1,4.38
43,Coconut shell,K2CO3,Hierarchical,500,947,0.35,,86.59,0.94,2.76,9.71,25,1,3.45
,Coconut shell,K2CO4,Hierarchical,500,1082,0.39,,87.48,0.88,2.74,8.9,25,1,3.71
,Coconut shell,K2CO5,Hierarchical,500,1324,0.51,,91.35,0.82,1.52,6.31,25,1,3.49
,Coconut shell,K2CO6,Hierarchical,500,1199,0.47,,91.08,0.52,1.42,6.98,25,1,3.07
,Coconut shell,K2CO7,Hierarchical,500,1354,0.58,,88.71,0.55,1.34,9.4,25,1,3.03
,Coconut shell,K2CO8,Hierarchical,500,1329,0.56,,91.35,0.56,1.13,6.96,25,1,2.86
,Coconut shell,K2CO9,Hierarchical,500,1430,0.65,,93.24,0.65,0.86,5.25,25,1,2.78
44,Argan hard shell,KOH and NaOH,Hierarchical,700,2251,1.04,0.93,85.08,0,9.49,5.43,25,1,5.51
,Argan hard shell,KOH and NaOH,Hierarchical,700,1890,0.87,0.8,82.68,0,13.9,3.42,25,1,5.63
,Argan hard shell,KOH and NaOH,Hierarchical,700,1463,0.74,0.58,67.74,0,9.07,23.19,25,1,3.64
,Argan hard shell,KOH and NaOH,Hierarchical,700,1827,0.96,0.73,82.14,0,12.61,5.25,25,1,3.73
45,"Olive stone, coffee, almond shell, grape seed",CO2,Microporous,,514,0.21,,92.2,0,0.4,7.4,25,0.15,0.88
,"Olive stone, coffee, almond shell, grape seed",CO2,Microporous,,1248,0.44,,88,0,0.7,11.3,25,0.15,0.99
,"Olive stone, coffee, almond shell, grape seed",CO2,Microporous,,534,0.25,,83.7,0,4.1,12.2,25,0.15,1.11
,"Olive stone, coffee, almond shell, grape seed",CO2,Microporous,,847,0.34,,81.9,0,1.3,16.8,25,0.15,0.98
,"Olive stone, coffee, almond shell, grape seed",CO2,Microporous,,535,0.23,,85.3,0,1.8,12.9,25,0.15,0.91
,"Olive stone, coffee, almond shell, grape seed",CO2,Microporous,,362,0.27,,90,0,2.2,7.8,25,0.15,0.91
,"Olive stone, coffee, almond shell, grape seed",CO2,Microporous,,840,0.34,,82.6,0,2.1,15.3,25,0.15,0.75
46,Black gram,KOH,Microporous,300,956,0.48,0.31,76.95,2.39,4.82,15.84,25,1,3.34
,Black gram,KOH,Microporous,300,1258,0.61,0.4,83.63,2.9,4.21,9.26,25,1,3.46
,Black gram,KOH,Microporous,300,1697,0.82,0.37,84.08,2.06,3.86,10,25,1,3.46
,Black gram,KOH,Microporous,300,1987,1.02,0.26,89.43,1.41,1.78,7.38,25,1,2.76
,Black gram,KOH,Microporous,300,990,0.42,0.31,79.99,2.9,4.76,12.35,25,1,3.25
,Black gram,KOH,Microporous,300,1428,0.65,0.29,78.36,2.58,4.38,14.68,25,1,3.06
,Black gram,KOH,Microporous,300,1675,0.96,0.06,75.76,2.51,3.67,18.06,25,1,2.28
,Black gram,KOH,Microporous,300,2086,1.08,0.16,91.38,1.06,2.52,5.04,25,1,2.59
,Black gram,KOH,Microporous,300,1216,0.53,0.35,78.46,2.21,5.34,13.99,25,1,3.16
,Black gram,KOH,Microporous,300,1446,0.63,0.37,81.6,2.41,4.15,11.84,25,1,3.21
,Black gram,KOH,Microporous,300,1952,1.11,0.04,71.34,3.4,3.15,22.11,25,1,2.14
,Black gram,KOH,Microporous,300,2305,1.23,0.13,79.17,2.13,1.81,16.89,25,1,2.34
,Black gram,KOH,Microporous,300,956,0.48,0.31,76.95,2.39,4.82,15.84,0,1,4.61
,Black gram,KOH,Microporous,300,1258,0.61,0.4,83.63,2.9,4.21,9.26,0,1,5.3
,Black gram,KOH,Microporous,300,1697,0.82,0.37,84.08,2.06,3.86,10,0,1,5.25
,Black gram,KOH,Microporous,300,1987,1.02,0.26,89.43,1.41,1.78,7.38,0,1,5.1
,Black gram,KOH,Microporous,300,990,0.42,0.31,79.99,2.9,4.76,12.35,0,1,4.65
,Black gram,KOH,Microporous,300,1428,0.65,0.29,78.36,2.58,4.38,14.68,0,1,4.97
,Black gram,KOH,Microporous,300,1675,0.96,0.06,75.76,2.51,3.67,18.06,0,1,3.9
,Black gram,KOH,Microporous,300,2086,1.08,0.16,91.38,1.06,2.52,5.04,0,1,4.69
,Black gram,KOH,Microporous,300,1216,0.53,0.35,78.46,2.21,5.34,13.99,0,1,4.82
,Black gram,KOH,Microporous,300,1446,0.63,0.37,81.6,2.41,4.15,11.84,0,1,5.15
,Black gram,KOH,Microporous,300,1952,1.11,0.04,71.34,3.4,3.15,22.11,0,1,3.73
,Black gram,KOH,Microporous,300,2305,1.23,0.13,79.17,2.13,1.81,16.89,0,1,4.79
47,Glucose-d,K2CO3,Hierarchical,180,933,0.45,,66.51,2.33,12.27,18.89,25,1,3.43
,Glucose-d,K2CO3,Hierarchical,180,1005,0.46,,65.31,2.38,12.21,20.1,25,1,3.46
,Glucose-d,K2CO3,Hierarchical,180,1170,0.53,,63.67,2.42,11.81,22.1,25,1,3.74
,Glucose-d,K2CO3,Hierarchical,180,1754,0.83,,69.83,2.14,10.51,17.52,25,1,3.69
,Glucose-d,K2CO3,Hierarchical,180,1699,0.89,,70.32,1.98,9.54,18.16,25,1,3.65
,Glucose-d,K2CO3,Hierarchical,180,1824,0.92,,71.66,1.97,7.74,18.63,25,1,3.92
,Glucose-d,K2CO3,Hierarchical,180,2572,1.43,,77.7,1.56,6.57,14.17,25,1,3.75
,Glucose-d,K2CO3,Hierarchical,180,2510,1.54,,80.32,1.73,5.03,12.92,25,1,3.56
,Glucose-d,K2CO3,Hierarchical,180,2827,1.55,,84.24,1.65,4.69,9.42,25,1,3.61
,Glucose-d,K2CO3,Hierarchical,180,1020,0.52,,73.65,2.15,0.32,23.88,25,1,3.66
,Glucose-d,K2CO3,Hierarchical,180,933,0.45,,66.51,2.33,12.27,18.89,0,1,4.8
,Glucose-d,K2CO3,Hierarchical,180,1005,0.46,,65.31,2.38,12.21,20.1,0,1,4.84
,Glucose-d,K2CO3,Hierarchical,180,1170,0.53,,63.67,2.42,11.81,22.1,0,1,5.32
,Glucose-d,K2CO3,Hierarchical,180,1754,0.83,,69.83,2.14,10.51,17.52,0,1,5.45
,Glucose-d,K2CO3,Hierarchical,180,1699,0.89,,70.32,1.98,9.54,18.16,0,1,5.87
,Glucose-d,K2CO3,Hierarchical,180,1824,0.92,,71.66,1.97,7.74,18.63,0,1,6.23
,Glucose-d,K2CO3,Hierarchical,180,2572,1.43,,77.7,1.56,6.57,14.17,0,1,6.23
,Glucose-d,K2CO3,Hierarchical,180,2510,1.54,,80.32,1.73,5.03,12.92,0,1,6.16
,Glucose-d,K2CO3,Hierarchical,180,2827,1.55,,84.24,1.65,4.69,9.42,0,1,6.05
,Glucose-d,K2CO3,Hierarchical,180,1020,0.52,,73.65,2.15,0.32,23.88,0,1,5.74
48,Lignin,KOH,Hierarchical,300,1788,0.91,0.49,40.4,0,5.6,54,25,1,4.8
,Lignin,KOH,Hierarchical,300,2957,1.79,0.56,59.5,0,2.5,38,25,1,4.4
,Lignin,KOH,Hierarchical,300,1075,0.75,0.21,64,0,2.2,33.8,25,1,4
,Lignin,KOH,Hierarchical,300,1788,0.91,0.49,40.4,0,5.6,54,0,1,8.2
,Lignin,KOH,Hierarchical,300,2957,1.79,0.56,59.5,0,2.5,38,0,1,7.6
,Lignin,KOH,Hierarchical,300,1075,0.75,0.21,64,0,2.2,33.8,0,1,6.5
49,Canes biomass,,Hierarchical,,18,0.02,,80.03,0,13.53,5.76,25,1,1.5
,Canes biomass,,Hierarchical,,982,0.62,,79.26,0,8.12,11.89,25,1,2.2
,Canes biomass,,Hierarchical,,582,0.29,,74.73,0,15.88,7.28,25,1,2.1
,Canes biomass,,Hierarchical,,18,0.02,,80.03,0,13.53,5.76,0,1,1.7
,Canes biomass,,Hierarchical,,982,0.62,,79.26,0,8.12,11.89,0,1,4.8
,Canes biomass,,Hierarchical,,582,0.29,,74.73,0,15.88,7.28,0,1,3
50,Pigskin,,Hierarchical,,1165,1.03,,64.7,1.5,10.4,23.25,25,1,4.4
,Pigskin,,Hierarchical,,2693,1.68,,84.8,0.5,6.2,8.21,25,1,3.1
,Pigskin,,Hierarchical,,2731,1.89,,86.8,1.8,2.6,7.9,25,1,2.5
,Pigskin,,Hierarchical,,2799,1.91,,91.9,1.2,1.6,4.45,25,1,2.2
,Pigskin,,Hierarchical,,1165,1.03,,64.7,1.5,10.4,23.25,0,1,5.3
,Pigskin,,Hierarchical,,2693,1.68,,84.8,0.5,6.2,8.21,0,1,4.7
,Pigskin,,Hierarchical,,2731,1.89,,86.8,1.8,2.6,7.9,0,1,4.1
,Pigskin,,Hierarchical,,2799,1.91,,91.9,1.2,1.6,4.45,0,1,4
51,Chitosan,KOH,Microporous,550,667,0.29,0.28,63.3,2.4,6.5,27.8,25,1,3.74
,Chitosan,KOH,Microporous,550,716,0.32,0.31,61.5,2.5,6.6,29.4,25,1,4.04
,Chitosan,KOH,Microporous,550,718,0.33,0.31,59.1,2.3,6.8,31.8,25,1,4.17
,Chitosan,KOH,Microporous,550,907,0.4,0.39,57.9,2.6,6.7,32.8,25,1,4.26
,Chitosan,KOH,Microporous,550,667,0.29,0.28,63.3,2.4,6.5,27.8,25,0.15,1.46
,Chitosan,KOH,Microporous,550,716,0.32,0.31,61.5,2.5,6.6,29.4,25,0.15,1.57
,Chitosan,KOH,Microporous,550,718,0.33,0.31,59.1,2.3,6.8,31.8,25,0.15,1.86
,Chitosan,KOH,Microporous,550,907,0.4,0.39,57.9,2.6,6.7,32.8,25,0.15,1.77
52,Rotten strawberries,KOH,Hierarchical,180,935,0.42,,72.21,2.55,3.68,21.56,25,1,3.63
,Rotten strawberries,KOH,Hierarchical,180,1441,0.6,,68.99,2.21,5.16,23.64,25,1,4.04
,Rotten strawberries,KOH,Hierarchical,180,1117,0.52,,78.02,2.44,5.38,14.16,25,1,4.49
,Rotten strawberries,KOH,Hierarchical,180,1482,0.64,,70.16,3.06,5.06,21.72,25,1,3.87
,Rotten strawberries,KOH,Hierarchical,180,1408,0.67,,76.23,2.39,3.81,17.57,25,1,3.73
,Rotten strawberries,KOH,Hierarchical,180,1577,0.68,,79.18,2.11,2.6,16.11,25,1,3.99
53,Lignin,KOH,Hierarchical,,2922,1.36,1.22,84.6,0,5.6,7.2,25,1,5.12
,Lignin,KOH,Hierarchical,,2779,1.39,1.1,79.1,0,7.1,11.8,25,1,5.48
,Lignin,KOH,Hierarchical,,1631,0.83,0.6,76.3,0,5.9,17.1,25,1,4.23
54,Soya chunks,NaOH,Microporous,180,607,,,80.2,0,4.3,15.5,25,1,2.7
,Soya chunks,NaOH,Microporous,180,1072,,,84,0,5.3,10.7,25,1,3.2
55,Arundo donax,ZnCl2,Hierarchical,,1863,1,,75,0,5.4,19.6,25,1,2.1
,Arundo donax,ZnCl2,Hierarchical,,1340,0.68,,81,0,4.1,14.9,25,1,1.7
,Arundo donax,ZnCl2,Hierarchical,,1420,0.76,,82,0,3.5,14.5,25,1,2
56,Coca cola,ZnCl2,Hierarchical,,1082,0.43,,69.6,0,3.3,13.8,25,1.01,3.2
,Coca cola,ZnCl2,Hierarchical,,1994,0.87,,73.1,0,4.2,10.3,25,1.01,3.08
,Coca cola,ZnCl2,Hierarchical,,1405,0.8,,74,0,3.5,12.5,25,1.01,5.22
57,Waste wool,KOH,Hierarchical,300,447,0.22,0.18,71.9,1.37,11.25,15.48,25,1,1.48
,Waste wool,KOH,Hierarchical,300,1010,0.57,0.37,70.73,1.64,4.57,23.06,25,1,2.33
,Waste wool,KOH,Hierarchical,300,1352,0.78,0.54,69.65,1.42,4.14,24.79,25,1,2.78
,Waste wool,KOH,Hierarchical,300,1420,0.86,0.52,67.47,1.68,3.7,27.15,25,1,2.35
58,Coconut shell,KOH,Microporous,500,1023,0.38,,84.2,1.52,1.35,12.93,25,1,4.1
,Coconut shell,KOH,Microporous,500,1383,0.56,,83.3,1.32,1.08,14.3,25,1,4
,Coconut shell,KOH,Microporous,500,1604,0.65,,84.2,1.53,0.81,13.46,25,1,4.3
,Coconut shell,KOH,Microporous,500,1178,0.49,,82,1.34,1.23,15.43,25,1,4.1
,Coconut shell,KOH,Microporous,500,1535,0.6,,81.3,1.22,0.91,16.57,25,1,4.8
,Coconut shell,KOH,Microporous,500,1687,0.67,,83,1.29,0.7,15.01,25,1,4.3
,Coconut shell,KOH,Microporous,500,1550,0.62,,84.2,1.03,0.86,13.91,25,1,4.1
,Coconut shell,KOH,Microporous,500,1596,0.64,,86.3,0.92,0.73,12.05,25,1,4.7
,Coconut shell,KOH,Microporous,500,1937,0.78,,86.5,0.84,0.61,12.05,25,1,4.44
,Coconut shell,KOH,Microporous,500,1513,0.58,,80.8,2.4,0.23,16.57,25,1,3.7
,Coconut shell,KOH,Microporous,500,1012,0.44,,75.5,0.95,8.01,15.54,25,1,3
59,Banana peel,CO2,Hierarchical,800,1426.1,0.83,0.56,43.5,2.2,4.2,50.1,25,1,2.7
,Banana peel,CO2,Hierarchical,800,764,,,62.51,0,5,32.49,30,1,1.9
60,Black locust,KOH,Hierarchical,650,2511,1.35,1.16,76.38,1.48,7.21,0,25,1,5.05
,Black locust,KOH,Hierarchical,650,2511,1.35,1.16,76.38,1.48,7.21,0,0,1,7.19
,Black locust,KOH,Hierarchical,650,2511,1.35,1.16,76.38,1.48,7.21,0,25,0.15,1.59
,Black locust,KOH,Hierarchical,650,2511,1.35,1.16,76.38,1.48,7.21,0,0,0.15,3.26
61,Bark stem,KOH,Hierarchical,170,1393,0.63,0.49,87.48,0,1.61,10.91,25,1,3.92
,Bark stem,KOH,Hierarchical,170,1759,0.92,0.6,89.48,0,1.43,9.09,25,1,4.45
,Bark stem,KOH,Hierarchical,170,1229,0.89,0.15,92.59,0,0.99,6.42,25,1,3.76
62,Coconut shell,KOH,Hierarchical,500,879,0.38,,64.2,4.02,6.16,25.62,25,1,3.68
,Coconut shell,KOH,Hierarchical,500,1135,0.62,,70.5,3.38,4.83,21.29,25,1,4.04
,Coconut shell,KOH,Hierarchical,500,1850,0.87,,69.8,3,4.31,22.89,25,1,4.16
,Coconut shell,KOH,Hierarchical,500,1562,0.75,,69,2.69,3.84,24.47,25,1,3.79
,Coconut shell,KOH,Hierarchical,500,1483,0.66,,70,2.67,4.56,22.77,25,1,4.26
,Coconut shell,KOH,Hierarchical,500,1487,0.79,,71.2,2.45,3.59,22.76,25,1,4.22
,Coconut shell,KOH,Hierarchical,500,2322,1.06,,74.1,2.8,3.19,19.91,25,1,4.1
,Coconut shell,KOH,Hierarchical,500,2521,1.34,,75.8,2.48,2.4,19.32,25,1,3.72
,Coconut shell,KOH,Hierarchical,500,2349,0.99,,77.3,2.03,2.22,18.45,25,1,4.22
,Coconut shell,KOH,Hierarchical,500,1967,0.94,,79.2,2.22,1.81,16.77,25,1,4.09
